#timestamp x y z qx qy qz qw
33.052000 0.035248 0.035565 0.101767 0.016070 -0.680949 0.731536 0.030101
34.052000 0.024769 0.088851 0.560507 0.022371 -0.676451 0.735282 0.035691
35.052000 0.021095 0.140193 1.067471 0.026116 -0.676444 0.735004 0.038868
36.052000 -0.024067 0.215905 1.580608 0.022243 -0.670880 0.740491 0.033149
37.052000 -0.030376 0.245418 2.025270 0.023363 -0.672780 0.738653 0.034843
38.052000 -0.036105 0.241912 2.179735 0.023089 -0.672349 0.739049 0.034937
39.052000 -0.037648 0.241974 2.352666 0.021993 -0.672028 0.739415 0.034058
40.052000 -0.031062 0.245618 2.544308 0.021651 -0.671403 0.740021 0.033437
41.052000 -0.019602 0.252798 2.777274 0.021863 -0.671845 0.739599 0.033754
42.056000 -0.012210 0.270881 3.025678 0.021985 -0.671539 0.739893 0.033317
43.056000 0.012347 0.274120 3.315011 0.022400 -0.672489 0.738994 0.033833
44.056000 0.042290 0.304143 3.598577 0.022270 -0.670856 0.740533 0.032676
45.152000 0.099476 0.343972 3.937705 0.022789 -0.671348 0.740033 0.033518
46.152000 0.126643 0.387493 4.256117 0.022435 -0.671085 0.740359 0.031791
47.164000 0.143382 0.438290 4.592059 0.020695 -0.670728 0.740842 0.029140
48.164000 0.186138 0.453167 4.949949 0.020819 -0.672383 0.739255 0.031142
49.180000 0.237731 0.530673 5.258592 0.021998 -0.669567 0.741696 0.032909
50.196000 0.241388 0.559966 5.638269 0.022051 -0.668975 0.742262 0.032154
51.208000 0.337526 0.624723 5.967053 0.023216 -0.665951 0.744802 0.035215
52.220000 0.248958 0.451523 5.019981 0.022394 -0.669191 0.742047 0.032379
53.220000 0.211399 0.281199 3.962161 0.022532 -0.671211 0.740240 0.031833
54.220000 0.164118 0.163030 2.949172 0.022364 -0.671605 0.739911 0.031287
55.224000 0.199153 0.064431 2.657140 0.044817 -0.678540 0.733052 0.014469
56.320000 0.268339 -0.177668 2.770128 0.085489 -0.676479 0.731232 -0.019204
57.320000 0.330905 -0.445312 2.832563 0.122024 -0.673120 0.727513 -0.052387
58.320000 0.445462 -0.700507 2.870806 0.157638 -0.668280 0.721976 -0.085461
59.320000 0.586145 -0.937657 2.952380 0.194233 -0.665169 0.711433 -0.116994
60.324000 0.775788 -1.169137 2.979288 0.229536 -0.658250 0.701014 -0.150334
61.424000 1.008830 -1.352828 2.974393 0.266566 -0.647192 0.690032 -0.184230
62.520000 1.255022 -1.550492 2.991687 0.304467 -0.637031 0.673832 -0.217812
63.520000 1.477298 -1.726762 3.015596 0.336989 -0.625995 0.657473 -0.249594
64.624000 1.752251 -1.882175 3.056961 0.372779 -0.611577 0.638275 -0.282159
65.720000 2.043552 -2.011237 3.059358 0.407928 -0.594928 0.618312 -0.312002
66.720000 2.294923 -2.162856 3.044499 0.436688 -0.577696 0.597769 -0.343866
67.720000 2.608814 -2.232748 3.053527 0.468735 -0.558747 0.576625 -0.368229
68.720000 2.881611 -2.312777 3.012657 0.495011 -0.538741 0.553862 -0.397440
69.724000 3.178652 -2.334142 2.970177 0.523280 -0.518327 0.528804 -0.421760
70.820000 3.475679 -2.347628 2.883255 0.550572 -0.492563 0.501263 -0.450542
71.820000 3.757862 -2.332236 2.800060 0.574373 -0.468809 0.474184 -0.474829
72.820000 4.079049 -2.279045 2.752083 0.599240 -0.445961 0.443987 -0.494879
73.820000 4.412317 -2.211003 2.688262 -0.621591 0.424090 -0.409820 0.515578
74.820000 4.697582 -2.114517 2.596717 -0.640701 0.396721 -0.380096 0.536321
75.820000 4.973793 -1.985650 2.492201 -0.656385 0.369409 -0.351028 0.556306
76.820000 5.356137 -1.875702 2.418854 -0.676505 0.344777 -0.310415 0.571937
77.820000 5.650758 -1.704325 2.333993 -0.691551 0.315904 -0.275787 0.588136
78.820000 5.810600 -1.477156 2.256616 -0.703068 0.279760 -0.250176 0.604021
79.820000 6.114206 -1.274210 2.172734 -0.714173 0.256991 -0.205396 0.617839
80.824000 6.221914 -0.999763 2.162516 -0.724771 0.218109 -0.178202 0.628792
81.920000 6.398709 -0.734741 2.120561 -0.733141 0.184790 -0.136898 0.640012
82.920000 6.585895 -0.443855 2.076768 -0.740589 0.156502 -0.096238 0.646354
83.920000 6.734526 -0.151352 2.031070 -0.745074 0.126944 -0.057128 0.652293
84.924000 6.833828 0.144852 2.014775 -0.748325 0.092119 -0.020910 0.656572
86.020000 6.957840 0.512692 1.970945 -0.749953 0.059756 0.025060 0.658310
87.020000 7.001888 0.853507 1.940672 -0.747536 0.028654 0.062852 0.660620
88.020000 7.007169 1.191304 1.929444 -0.744120 -0.005675 0.098085 0.660782
89.024000 7.028864 1.506419 1.863289 -0.736033 -0.035893 0.137744 0.661811
90.120000 7.007494 1.884943 1.862495 -0.729603 -0.069555 0.179170 0.656308
