#timestamp x y z qx qy qz qw
46.108000 0.627276 0.033441 0.457835 -0.009320 0.726098 -0.675814 -0.126375
47.108000 0.738794 -0.003612 1.086193 -0.005656 0.735509 -0.665434 -0.127252
48.108000 0.850354 -0.001238 1.628001 -0.004852 0.736491 -0.665235 -0.122552
49.108000 0.932266 -0.059944 2.195544 -0.002360 0.736042 -0.665100 -0.126012
50.108000 0.978145 -0.085877 2.537427 -0.002403 0.735906 -0.665338 -0.125546
51.108000 1.062477 -0.090572 2.865267 -0.003356 0.732962 -0.668439 -0.126274
52.108000 1.148960 -0.137941 3.230491 0.001483 0.733601 -0.667975 -0.125050
53.108000 1.290867 -0.154637 3.543522 0.000483 0.733219 -0.668183 -0.126176
54.108000 1.387842 -0.174143 3.894674 0.000418 0.733620 -0.668060 -0.124488
55.112000 1.452545 -0.221516 4.328378 -0.000042 0.734544 -0.667691 -0.120972
56.112000 1.556415 -0.273701 4.752980 -0.000741 0.738768 -0.663306 -0.119360
57.112000 1.723392 -0.256047 5.128678 -0.000759 0.737920 -0.664027 -0.120592
58.112000 1.793988 -0.356132 5.594809 0.000330 0.745899 -0.655935 -0.115690
59.112000 1.933901 -0.299208 5.958003 -0.001484 0.745785 -0.656156 -0.115161
60.112000 1.987346 -0.199776 6.372481 -0.006915 0.736815 -0.666966 -0.110513
61.112000 1.988403 -0.154461 6.790416 -0.005403 0.731066 -0.674298 -0.104098
62.112000 2.001180 -0.206414 7.266144 -0.000991 0.730237 -0.675805 -0.100205
63.112000 1.946427 -0.280985 7.803527 -0.002193 0.733304 -0.672993 -0.096644
64.212000 1.928436 -0.104197 8.282714 -0.000556 0.726616 -0.681035 -0.090669
65.212000 2.247174 -0.502399 8.727886 -0.011377 0.736953 -0.668023 -0.102551
66.212000 2.384292 0.057392 9.065768 -0.014563 0.719314 -0.686337 -0.106378
67.212000 1.812535 -0.956545 9.692497 0.000409 0.752796 -0.651863 -0.091497
68.212000 1.957057 -1.102344 10.014446 -0.000053 0.755407 -0.648295 -0.095255
89.216000 2.515400 -1.066354 9.854197 -0.030739 0.757412 -0.644411 -0.100583
90.216000 2.153319 0.149195 8.905451 -0.008202 0.722509 -0.683590 -0.103048
91.216000 1.736664 -0.132753 8.066226 -0.001591 0.732106 -0.674206 -0.097284
92.216000 1.626848 -0.093764 7.089756 -0.006263 0.734860 -0.670053 -0.104741
93.216000 1.600592 0.011483 6.034873 -0.010611 0.728400 -0.675322 -0.115159
94.216000 1.407678 0.054836 5.043286 -0.004128 0.722727 -0.680215 -0.122296
95.224000 1.146086 0.078105 4.101450 -0.001886 0.728561 -0.673797 -0.123258
96.224000 0.946101 0.095739 3.196738 -0.001440 0.731457 -0.670158 -0.125923
97.224000 0.702004 0.333466 3.040927 0.007673 0.720744 -0.684283 -0.110571
98.224000 0.384116 0.815991 3.128605 0.007662 0.724469 -0.679027 -0.118357
99.224000 0.019001 1.366183 3.259750 0.007926 0.724783 -0.678715 -0.118201
100.224000 -0.297709 1.923679 3.326205 0.006705 0.724170 -0.679483 -0.117627
101.224000 -0.575817 2.461406 3.406393 0.005679 0.724219 -0.679076 -0.119710
102.224000 -0.869844 3.012378 3.525365 0.007513 0.725172 -0.678370 -0.117826
103.224000 -1.185242 3.552925 3.558740 0.010555 0.726792 -0.676794 -0.116672
104.228000 -1.537186 4.098324 3.651186 0.007332 0.729504 -0.674573 -0.112788
105.228000 -1.902095 4.626938 3.715384 0.010120 0.730775 -0.672722 -0.115374
106.228000 -2.247105 5.150805 3.812711 0.010785 0.727851 -0.675784 -0.115900
107.228000 -2.605078 5.648906 3.901973 0.012329 0.726270 -0.677371 -0.116398
108.228000 -2.971284 6.156828 4.021765 0.015107 0.726284 -0.676919 -0.118596
109.228000 -3.266770 6.655232 4.160342 0.017841 0.726991 -0.676136 -0.118348
110.228000 -3.617093 7.154886 4.273913 0.015804 0.731617 -0.671574 -0.116085
111.228000 -4.006103 7.634550 4.393735 0.006328 0.739423 -0.662023 -0.122226
112.228000 -4.221478 7.643499 4.468797 0.002620 0.759104 -0.638978 -0.124342
113.228000 -4.379505 7.024804 4.424972 0.004005 0.752202 -0.648629 -0.116004
114.228000 -4.490067 6.317972 4.337154 0.001904 0.749859 -0.651734 -0.113797
115.228000 -4.576708 5.603745 4.315651 -0.000636 0.751501 -0.649928 -0.113314
116.228000 -4.657258 4.924374 4.259793 -0.004141 0.751582 -0.649773 -0.113587
117.228000 -4.709727 4.272447 4.190995 -0.008490 0.749247 -0.652090 -0.115478
118.228000 -4.765839 3.590119 4.130371 -0.012003 0.749123 -0.651746 -0.117894
119.228000 -4.828907 2.918322 4.050955 -0.009952 0.747762 -0.653127 -0.119073
120.228000 -4.897693 2.267241 3.976292 -0.010761 0.745431 -0.655426 -0.120973
121.228000 -5.000069 1.610538 3.863686 -0.009841 0.744134 -0.656717 -0.122026
122.228000 -5.091197 0.952662 3.782798 -0.010371 0.742525 -0.658036 -0.124651
123.228000 -5.205512 0.271177 3.682535 -0.008159 0.741777 -0.658165 -0.128526
124.228000 -5.363894 -0.396978 3.628780 -0.006595 0.739682 -0.660262 -0.129926
125.232000 -5.473719 -1.109933 3.561736 -0.005493 0.737137 -0.662791 -0.131557
126.236000 -5.620241 -1.800286 3.391855 -0.004214 0.732160 -0.668081 -0.132636
127.236000 -5.759446 -2.513214 3.333949 -0.004700 0.732490 -0.667680 -0.132815
128.336000 -5.907629 -3.285380 3.281694 -0.005181 0.732537 -0.667733 -0.132272
129.336000 -6.007850 -3.987916 3.228550 -0.005228 0.733093 -0.666956 -0.133103
130.336000 -6.142760 -4.667718 3.118301 -0.003005 0.731100 -0.669586 -0.130912
131.336000 -6.214270 -5.328903 3.018364 -0.001070 0.729100 -0.671244 -0.133583
132.336000 -6.258246 -6.029028 2.990943 -0.051422 0.712069 -0.676442 -0.180942
